Root Domain,Location on Site,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Overall Score,Performance,Accessibility,SEO,Best Practices,Telephones,Emails,X,Twitter,TikTok,Threads,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,YouTube,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CRuX Rank,Cloudflare Rank,Exclusion,Compliance
urbandictionary.com,urbandictionary.com,$5000,$3015766,300000.0,0.0,0,Urban Dictionary,Automotive And Vehicles,17.0,327,597,11654,,,,,,ph:,legal@urbandictionary.com;ads@urbandictionary.com,,twitter.com/urbandictionary,,,facebook.com/urbandictionary,,,,,,,,,,,San Francisco,CA,94120,US,2017-01-24,2024-01-08,2003-09-30,2024-01-08,Shopify,Top 50m,Top 50k,-,California CCPA
cheatsheet.com,cheatsheet.com,$5000,,20000.0,0.0,0,Showbiz Cheat Sheet,Art And Entertainment,19.0,6830,3138,16411,,,,,,ph:+1-877-915-6269,support@wallstcheatsheet.com;feedback@cheatsheet.com;tips@cheatsheet.com;submissions@cheatsheet.com;tech@cheatsheet.com;adops@cheatsheet.com;support@cheatsheet.com;press@cheatsheet.com,,twitter.com/cheatsheet,,,facebook.com/wallstcheatsheet,linkedin.com/company/the-cheat-sheet,,pinterest.com/thecheatsheet,,instagram.com/showbizcheatsheet,,,,N/A - Bizdev - noemail; N/A - Software - noemail; N/A - Other - noemail; N/A - Director - noemail; N/A - Manager - noemail; N/A - President - noemail; N/A - Csuite - noemail,https://www.linkedin.com/in/sarah-martin-10b33a8;https://www.linkedin.com/in/tracysigler;https://www.linkedin.com/in/derek-hoffman-a8531a13,Asheville,NC,28814,US,2016-07-20,2023-12-28,2000-02-29,2024-01-06,,Top 100k,Top 50k,-,-
people.com,people.com,$5000,,5000000.0,0.0,0,PEOPLE.com,Technology And Computing,30.0,2627,691,5654,,,,,,ph:+1-212-467-3320;+1-212-522-6699;+61-72-7201712;+1-866-769-0199;+1-212-479-1704;+1-800-541-9000,editor@people.com;webmaster@people.com;insider@people.com;scoop@people.com;espanol@people.com;natasha.mak@people.com;manners@people.com;joanne32327@people.com;seams@people.com;lou@people.com;delany40@people.com;hotmail.com@people.com;dat.blessed@people.com;bus1950@people.com;laurieattendantdelarosa@people.com;reedjackson@people.com;twilight@people.com;heroesamongus@people.com;patvance@people.com;altlou@people.com;feedback@people.com;tips@people.com;press@people.com;ads@people.com,,twitter.com/people,tiktok.com/@people,,facebook.com/peoplemag,,,pinterest.com/people,,instagram.com/people,,,youtube.com/user/people,N/A - Engineering - noemail; N/A - Director - noemail; N/A - Manager - noemail; N/A - President - noemail; N/A - Csuite - noemail,https://www.linkedin.com/in/kathrynvandervalk;https://www.linkedin.com/in/david-flumenbaum;https://www.linkedin.com/in/andrea-dunham-24362a38,Tampa,FL,33612,US,2020-06-01,2023-12-28,2011-01-03,2024-01-08,,Top 1000,Top 50k,-,-
nickiswift.com,nickiswift.com/*,$500,,20000.0,0.0,0,Static Media,Careers,44.0,423380,64340,61293,,,,,,ph:+1-347-754-7130,,,twitter.com/nickiswiftceleb,tiktok.com/@nickiswiftceleb,,facebook.com/nickiswiftceleb,,,pinterest.com/nickiswiftceleb,,instagram.com/nickiswiftceleb,,,,,,Fishers,IN,46038,US,2022-07-14,2024-01-03,2015-12-14,2024-01-06,,Top 500k,Top 100k,-,-
wattpad.com,wattpad.com,$5000,,750000.0,100.0,0,Wattpad Inc,Art And Entertainment,52.0,408,1466,1376,,,,,,ph:+1-800-931-2237;+1-866-633-4220,report@wattpad.com;business@wattpad.com;writers@wattpad.com;betaapp@wattpad.com;nmaria@wattpad.com;maria@wattpad.com;mike@wattpad.com;mojomydog@wattpad.com;birdlife@wattpad.com;privacy@wattpad.com,,twitter.com/wattpad,,,facebook.com/wattpad,linkedin.com/company/wattpad,,,,instagram.com/wattpad,,,youtube.com/user/wattpad,,,,,,,2016-07-13,-,2011-09-04,2024-01-08,Squarespace Add to Cart,Top 50m,Top 50k,-,-
slate.com,slate.com,$5000,,50000.0,100.0,396,Slate Group,Business And Industrial,57.0,218,327,5999,,,,,,ph:+1-646-794-5978;+1-202-223-0671;+1-212-556-7201;+1-646-495-4001;+1-212-556-4015;+1-800-352-5267,corrections@slate.com;slateoffice@slate.com;pitchslate@slate.com;plus@slate.com;mobile@slate.com;advertise@slate.com;feedback@slate.com;requests@slate.com;ifthen@slate.com;slatemoney@slate.com;katie.rayford@slate.com;support@slate.com;copyrightagent@slate.com;rights@slate.com;privacy@slate.com;hangup@slate.com,,twitter.com/slate,,,facebook.com/slate,,,,,instagram.com/slate,,,,N/A - President - n/a@slate.com; N/A - Csuite - n/a@slate.com,https://www.linkedin.com/in/andrew-jackson-38530485,Washington,DC,20005,US,2016-09-21,2024-01-08,2000-02-25,2024-01-08,Shopify,Top 50m,Top 50k,-,-
graduatez.com,graduatez.com,$0,,0.0,0.0,0,Graduatez,Education,61.0,1972748,Outside Top 1m,53260,,,,,,ph:,,,,,,facebook.com/graduatez-1397407170273459,,,,,,,,,,,,,,,2018-07-09,2023-12-24,2016-09-12,2023-12-24,,-,Top 200k,-,-
thoughtcatalog.com,thoughtcatalog.com,$2000,$310308,750000.0,0.0,0,Thought Catalog,Art And Entertainment,63.0,3590,3483,34112,,,,,,ph:,chris.lavergne@thoughtcatalog.com;permissions@thoughtcatalog.com;biz@thoughtcatalog.com;info@thoughtcatalog.com;copyright@thoughtcatalog.com;stephanie@thoughtcatalog.com;madison@thoughtcatalog.com;chelsea-submissions@thoughtcatalog.com;deargaystraightdude@thoughtcatalog.com;manuscripts@thoughtcatalog.com;nico@thoughtcatalog.com;chris@thoughtcatalog.com;ryan@thoughtcatalog.com;hudspeth@thoughtcatalog.com;brandon@thoughtcatalog.com;anonymous@thoughtcatalog.com;afterdark@thoughtcatalog.com;mandy-submissions@thoughtcatalog.com;brianna-submissions@thoughtcatalog.com;brianna@thoughtcatalog.com;retail@thoughtcatalog.com;press-releases@thoughtcatalog.com;privacy@thoughtcatalog.com;robbie@thoughtcatalog.com;sales@thoughtcatalog.com;hello@thoughtcatalog.com,,twitter.com/thoughtcatalog,tiktok.com/@thoughtcatalog,,facebook.com/thoughtcatalog,,,pinterest.com/thoughtcatalog,,instagram.com/thoughtcatalog,,,,N/A - Unknown - n/a@thoughtcatalog.com; N/A - Sales - n/a@thoughtcatalog.com; N/A - Founder - n/a@thoughtcatalog.com,https://www.linkedin.com/in/chrislavergne;https://www.crunchbase.com/person/chris-lavergne,Brooklyn,NY,11211,US,2016-08-20,2023-12-28,2010-02-06,2024-01-07,Shopify,Top 50k,Top 100k,-,-
spanishdict.com,spanishdict.com,$2000,,20000.0,0.0,0,Curiosity Media Inc,Education,66.0,20287,16786,16561,,,,,,ph:,tchris@spanishdict.com;william@spanishdict.com;martha@spanishdict.com;support@spanishdict.com,,twitter.com/spanishdict,,,,,,,,instagram.com/spanishdict,,,,N/A - Csuite - n/a@spanishdict.com; N/A - Other - n/a@spanishdict.com,,Arlington,VA,22209,US,2015-12-31,2023-11-11,2002-01-23,2024-01-05,,Top 5000,Top 50k,-,-
theprimarymarket.com,theprimarymarket.com,$0,,0.0,0.0,0,theprimarymarket.com,Sports,70.0,4169382,Outside Top 1m,86207,,,,,,ph:,,,,,,,,,,,,,,,,,,,,,2018-08-20,2023-12-20,2017-09-25,2023-12-20,,Top 10m,Top 500k,-,-
polygon.com,polygon.com,$2000,,750000.0,0.0,0,Polygon,Art And Entertainment,72.0,1871,1427,14369,,,,,,ph:+1-202-591-1140;+1-800-862-2877;+1-800-778-7879,chris@polygon.com;mike@polygon.com;megan@polygon.com;justin@polygon.com;brian@polygon.com;julia@polygon.com;clayton@polygon.com;colin@polygon.com;simone@polygon.com;moderators@polygon.com,,twitter.com/polygon,tiktok.com/@polygon,,facebook.com/polygon,,,,,instagram.com/polygondotcom,,,youtube.com/user/polygon,N/A - Manager - n/a@polygon.com; N/A - President - n/a@polygon.com; N/A - Csuite - n/a@polygon.com; N/A - Founder - n/a@polygon.com,https://www.linkedin.com/in/jimbankoff;https://www.crunchbase.com/person/marty-moe,Washington,DC,20036,US,2016-11-09,2023-12-28,2000-02-29,2024-01-08,Fourthwall,Top 50m,Top 50k,-,-
newarena.com,newarena.com,$250,,5000.0,0.0,0,New Arena,Sports,74.0,624972,534757,63318,,,,,,ph:,admin@newarena.com,,twitter.com/thenewarena,,,facebook.com/thenewarena,,,,,,,,,N/A - Consultant - noemail; N/A - Marketing - noemail; N/A - Manager - noemail; N/A - Founder - noemail,,Calabasas,CA,91302,US,2016-06-07,2023-12-24,2015-06-20,2023-12-30,,Top 500k,Top 500k,-,California CCPA
howtogeek.com,howtogeek.com,$250,,50000.0,10.0,0,How-To Geek,Technology And Computing,79.0,1605,1085,8344,,,,,,ph:,contact@howtogeek.com;ask@howtogeek.com;ericgoodnight@howtogeek.com;tips@howtogeek.com;geek@howtogeek.com;i.am.supergeeky@howtogeek.com;newsletter@howtogeek.com;mysticgeek@howtogeek.com;merchandise@howtogeek.com;attips@howtogeek.com;lighthouse@howtogeek.com;geek+notes@howtogeek.com;whitson@howtogeek.com;matthewklein@howtogeek.com;lori@howtogeek.com;chrishoffman@howtogeek.com;cameron@howtogeek.com;craig@howtogeek.com;justinpot@howtogeek.com;ericravenscraft@howtogeek.com;keanan@howtogeek.com;erik@howtogeek.com;josh@howtogeek.com;press@howtogeek.com;advertising@howtogeek.com;reviews@howtogeek.com;justin@howtogeek.com,,twitter.com/howtogeek,,,facebook.com/howtogeek,linkedin.com/company/howtogeek,,,,instagram.com/howtogeeksite,,,,N/A - Engineering - n/a@howtogeek.com; N/A - Director - n/a@howtogeek.com; N/A - Manager - n/a@howtogeek.com; N/A - Founder - n/a@howtogeek.com,,Saint-Laurent Southeast,QC,H4T,CA,2020-11-10,2024-01-02,2006-11-27,2024-01-06,,Top 50k,Top 50k,-,-
simbaly.com,simbaly.com,$0,,0.0,0.0,0,simbaly,Technology And Computing,82.0,16847464,Outside Top 1m,47427,,,,,,ph:,,,,,,facebook.com/simbaly-475778355919914,,,,,instagram.com/simbaly_,,,,,,,,,,2018-08-03,2023-12-20,2017-09-25,2023-12-24,,-,Top 200k,-,-
luxandlush.com,luxandlush.com,$100,,1000.0,0.0,0,LUX &amp; LUSH,Sports,85.0,16961814,Outside Top 1m,42798,,,,,,ph:,,,,,,facebook.com/luxandlush,,,,,instagram.com/luxandlush_,,,,,,,,,,2020-06-01,2023-12-24,2018-03-05,2023-12-30,,-,Top 100k,-,-
yourtango.com,yourtango.com,$2000,,20000.0,0.0,0,by Tango Media Corporation,Law  Govt And Politics,91.0,7213,5407,32042,,,,,,ph:+1-646-397-3786,editor@yourtango.com;advertising@yourtango.com;customerservice@yourtango.com;margeaux@yourtango.com;michelles@yourtango.com;busdev@yourtango.com;sanjay@yourtango.com;tom@yourtango.com;sabrina@yourtango.com;arianna@yourtango.com;maryn@yourtango.com;kayla@yourtango.com;samantha@yourtango.com;emilyb@yourtango.com;aria@yourtango.com;caithlin@yourtango.com;maryrose@yourtango.com;christie@yourtango.com;joanna@yourtango.com;kevin@yourtango.com;security@yourtango.com;webmaster@yourtango.com;deauna@yourtango.com;nyree@yourtango.com,,twitter.com/yourtango,,,facebook.com/yourtango,,,pinterest.com/yourtango,,instagram.com/yourtango,,,,N/A - Bizdev - n/a@yourtango.com; N/A - Marketing - n/a@yourtango.com; N/A - Sales - n/a@yourtango.com; N/A - Director - n/a@yourtango.com; N/A - President - n/a@yourtango.com; N/A - Founder - n/a@yourtango.com,https://www.linkedin.com/in/andrea-miller-94238;https://www.linkedin.com/in/olivia-kopchik-96799a,Las Vegas,NV,89169,US,2020-06-01,2023-12-28,2008-10-19,2024-01-07,,Top 50k,Top 50k,-,-
newyorker.com,newyorker.com,$10000,,5000000.0,100.0,180,The New Yorker,Art And Entertainment,93.0,252,262,2755,,,,,,ph:+1-515-243-3273;+1-800-444-7570;+1-800-952-5210;+1-212-286-2860,themail@newyorker.com;fiction@newyorker.com;help@newyorker.com;nick_lemann@newyorker.com;joe_klein@newyorker.com;jane_mayer@newyorker.com;david_remnick@newyorker.com;shouts@newyorker.com;webcomments@newyorker.com;subscriptions@newyorker.com;jaime_leifer@newyorker.com;emily_kan@newyorker.com;poetry@newyorker.com;asktheauthor@newyorker.com;marii_sebahar@newyorker.com;newsbreaks@newyorker.com;cookman_campbell@newyorker.com;talkofthetown@newyorker.com;jacob_lewis@newyorker.com;patti_chapman@newyorker.com;afiction@newyorker.com,,twitter.com/newyorker,,,facebook.com/newyorker,linkedin.com/company/the-new-yorker,,,,instagram.com/newyorkermag,,,youtube.com/user/newyorkerdotcom,N/A - Analyst - noemail; N/A - Director - noemail; N/A - Manager - noemail,,New York City,NY,10007,US,2020-05-04,2023-12-28,2000-03-01,2024-01-06,Shopify;Shopify Plus,Top 50m,Top 50k,-,-
looper.com,looper.com/*,$500,,50000.0,0.0,0,Static Media,Art And Entertainment,96.0,14886,29267,19912,,,,,,ph:+1-908-514-8038,,,twitter.com/looper,,,facebook.com/loopermoviestv,,,,,instagram.com/looperhq,,,,,,Fishers,IN,46038,US,2022-07-15,2023-12-24,2000-03-05,2024-01-06,,Top 50k,Top 100k,-,-
westernjournal.com,westernjournal.com,$2000,,50000.0,10.0,0,Liftable Media Inc,Art And Entertainment,97.0,19003,13254,27838,,,,,,ph:,,,,tiktok.com/@westernjournalism,,facebook.com/westernjournal,linkedin.com/company/thewesternjournal,,,,instagram.com/thewesternjournal,,,,N/A - Sales - noemail,,New River,AZ,85087,US,2017-11-01,2024-01-06,2013-11-16,2024-01-06,Shopify,Top 50k,Top 50k,-,-
mymodernmet.com,mymodernmet.com,$2000,$2453403,200000.0,1.0,612,My Modern Met,Science,98.0,5276,3153,20733,,,,,,ph:,,,twitter.com/mymodernmet,,,facebook.com/mymodernmet,,,pinterest.com/mymodernmet,,instagram.com/mymodernmet,,,,N/A - Director - noemail; N/A - Manager - noemail; N/A - Founder - noemail,,Palo Alto,CA,94301,US,2017-05-12,2023-12-28,2008-08-07,2023-12-31,Shopify;Thinkific,Top 100k,Top 50k,-,California CCPA
